# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	7086
#@/user_id	76c8a36a-966b-414b-94e3-75dde62f30cd
che dai 	车贷	c=1 d=8.78394e-05 t=7086
che hou 	车后	c=1 d=8.19428e-11 t=7086
che li mian 	车里面	c=1 d=9.09837e-07 t=7086
che liang 	车辆	c=3 d=2.02431 t=7086
che pai hao 	车牌号	c=2 d=0.487068 t=7086
che wang 	车旺	c=33 d=0.0251109 t=7086
che zhu 	车主	c=7 d=1.35285 t=7086
cheng 	城	c=2 d=4.34198e-05 t=7086
cheng 	成	c=8 d=1.69182 t=7086
cheng ben 	成本	c=1 d=0.00708341 t=7086
cheng le 	成了	c=1 d=7.65616e-06 t=7086
cheng li 	成立	c=1 d=0.010889 t=7086
cheng yun dan wei 	承运单位	c=3 d=1.11743 t=7086
chi 	吃	c=3 d=4.08097e-08 t=7086
chi le 	吃了	c=1 d=0.0773047 t=7086
chi xi 	吃席	c=1 d=0.000181365 t=7086
chi yao 	吃药	c=1 d=0.0728029 t=7086
chong tu 	冲突	c=1 d=9.71272e-11 t=7086
chong xin 	重新	c=5 d=0.923116 t=7086
chong zhi 	重置	c=2 d=0.0273415 t=7086
chou kong 	抽空	c=1 d=0.847894 t=7086
chu 	出	c=1 d=0.246597 t=7086
chu lai 	出来	c=6 d=1.04246 t=7086
chu le 	除了	c=1 d=0.0029528 t=7086
chu li 	处理	c=19 d=4.23867 t=7086
chu li cheng 	处理成	c=1 d=4.25428e-05 t=7086
chu shi hua 	初始化	c=1 d=0.70822 t=7086
chu shi zhi 	初始值	c=1 d=0.759572 t=7086
chu xian 	出现	c=1 d=0.740819 t=7086
chu zai na li 	出在那里	c=1 d=7.67859e-11 t=7086
chuan 	川	c=1 d=0.000235217 t=7086
chuan guo 	穿过	c=1 d=0.000706632 t=7086
chuan guo qu 	穿过去	c=1 d=0.000710174 t=7086
chuang jian 	创建	c=2 d=0.00438314 t=7086
ci chang 	磁场	c=2 d=0.722527 t=7086
ci pin 	词频	c=1 d=7.9906e-09 t=7086
ci xing 	磁性	c=0 d=2.14491e-08 t=7086
cong 	从	c=0 d=0.0562705 t=7086
cong xin 	从新	c=0 d=0.0551562 t=7086
cuan 	窜	c=0 d=0.0499074 t=7086
cun 	寸	c=2 d=1.02892e-08 t=7086
cun zai 	存在	c=1 d=2.65939e-07 t=7086
cuo 	错	c=2 d=2.83293e-06 t=7086
cuo wu 	错误	c=10 d=0.939303 t=7086
da 	大	c=0 d=0.0275271 t=7086
da dian hua 	打电话	c=1 d=1.3138e-05 t=7086
da gai lv 	大概率	c=1 d=0.0196437 t=7086
da jia 	大家	c=2 d=0.0105524 t=7086
da kai 	打开	c=1 d=4.39594e-08 t=7086
da le 	打了	c=1 d=0.08291 t=7086
da pin 	打拼	c=3 d=0.845879 t=7086
da ping 	大屏	c=1 d=0.298197 t=7086
da ping mu 	大屏幕	c=1 d=0.276651 t=7086
da xiao 	大小	c=1 d=0.847894 t=7086
da yi miao 	打疫苗	c=1 d=0.0916297 t=7086
da yu 	大于	c=1 d=9.37865e-11 t=7086
da zhen 	打针	c=1 d=0.0753961 t=7086
da zhi 	大致	c=1 d=1.72608e-10 t=7086
da zi 	打字	c=2 d=0.00292063 t=7086
dai 	带	c=0 d=9.28217e-08 t=7086
dai ban 	代办	c=0 d=2.53537e-05 t=7086
dai ban shi yi 	代办事宜	c=1 d=0.000254808 t=7086
dai bu hui qu 	带不会去	c=1 d=9.3287e-07 t=7086
dai chu li 	待处理	c=3 d=1.51431 t=7086
dai dian nao 	带电脑	c=1 d=1.93611e-08 t=7086
dai ma 	代码	c=19 d=1.15649 t=7086
dai ma kuai 	代码块	c=1 d=3.85074e-09 t=7086
dai zhe er ji 	戴着耳机	c=1 d=0.704688 t=7086
dan 	但	c=0 d=0.0546074 t=7086
dan chu 	淡出	c=1 d=0.278037 t=7086
dan den 	但扽	c=1 d=0.618783 t=7086
dan di shang 	但地上	c=1 d=0.548812 t=7086
dan du 	单独	c=3 d=0.830995 t=7086
dan ren 	担任	c=1 d=0.0122161 t=7086
dan shi 	但是	c=3 d=0.812186 t=7086
dan teng 	蛋疼	c=1 d=0.625002 t=7086
dan wei 	单位	c=0 d=0.054335 t=7086
dan xin 	担心	c=1 d=1.87404e-07 t=7086
dan yuan ge 	单元格	c=1 d=1.40954e-09 t=7086
dan zi 	单子	c=2 d=0.73355 t=7086
dan zi 	胆子	c=1 d=0.000102566 t=7086
dang 	党	c=4 d=2.08938e-09 t=7086
dang qian 	当前	c=2 d=0.843208 t=7086
dao 	到	c=20 d=3.49145 t=7086
dao chu 	到处	c=2 d=5.80576e-10 t=7086
dao chu 	导出	c=5 d=0.00017892 t=7086
dao ri 	到日	c=1 d=5.05739e-10 t=7086
dao ru 	导入	c=8 d=3.57668e-09 t=7086
dao shi hou 	到时候	c=3 d=0.0758854 t=7086
dao zhi 	导致	c=3 d=0.737123 t=7086
de 	德	c=1 d=0.0923116 t=7086
de 	的	c=2076 d=11.741 t=7086
deng 	等	c=0 d=3.55686e-09 t=7086
deng deng 	等等	c=1 d=1.88831e-08 t=7086
deng geng 	等更	c=0 d=3.6469e-09 t=7086
deng geng dang 	等更党	c=1 d=1.81427e-08 t=7086
deng geng duo 	等更多	c=1 d=1.80522e-08 t=7086
deng geng he 	等更和	c=1 d=1.85092e-08 t=7086
deng gong deng 	等宫灯	c=2 d=3.64835e-08 t=7086
deng wo 	等我	c=3 d=0.226955 t=7086
deng xia 	等下	c=1 d=8.1086e-05 t=7086
deng zhe 	等着	c=1 d=0.113608 t=7086
di 	地	c=0 d=0.0240509 t=7086
di dian 	地点	c=1 d=0.29523 t=7086
di fang 	地方	c=2 d=6.74707e-06 t=7086
di gui 	递归	c=1 d=0.826959 t=7086
di kang li 	抵抗力	c=1 d=0.101266 t=7086
di san fang 	第三方	c=1 d=1.39215e-10 t=7086
di shang 	地上	c=0 d=0.0546074 t=7086
di wan 	滴丸	c=2 d=2.23059e-10 t=7086
di yi bu 	第一步	c=0 d=0.00124629 t=7086
di yi bu biao 	第一步表	c=1 d=0.0125254 t=7086
di yi bu fen 	第一部分	c=1 d=3.86939e-07 t=7086
di zhi 	地址	c=7 d=0.665854 t=7086
dian hua 	电话	c=1 d=1.18285e-05 t=7086
dian ji 	点击	c=3 d=0.352529 t=7086
dian le 	点了	c=1 d=8.19009e-05 t=7086
dian nao 	电脑	c=2 d=0.394554 t=7086
diao 	掉	c=1 d=5.70219e-10 t=7086
diao du 	调度	c=1 d=0.00711891 t=7086
diao huan 	调换	c=1 d=0.0124629 t=7086
diao pei 	调配	c=1 d=0.0135686 t=7086
diao yong 	调用	c=6 d=0.600495 t=7086
